table,era,source_column,canonical_column,kind,note
general_payments,2013,Change_Type,change_type,core,
general_payments,2013,Covered_Recipient_Type,covered_recipient_type,core,
general_payments,2013,Teaching_Hospital_CCN,teaching_hospital_ccn,core,
general_payments,2013,Teaching_Hospital_ID,teaching_hospital_id,core,
general_payments,2013,Teaching_Hospital_Name,teaching_hospital_name,core,
general_payments,2013,Physician_Profile_ID,covered_recipient_profile_id,core,Physician_ prefix rename
general_payments,2013,Physician_First_Name,covered_recipient_first_name,core,Physician_ prefix rename
general_payments,2013,Physician_Middle_Name,covered_recipient_middle_name,core,Physician_ prefix rename
general_payments,2013,Physician_Last_Name,covered_recipient_last_name,core,Physician_ prefix rename
general_payments,2013,Physician_Name_Suffix,covered_recipient_name_suffix,core,Physician_ prefix rename
general_payments,2013,Recipient_Primary_Business_Street_Address_Line1,recipient_primary_business_street_address_line1,core,
general_payments,2013,Recipient_Primary_Business_Street_Address_Line2,recipient_primary_business_street_address_line2,core,
general_payments,2013,Recipient_City,recipient_city,core,
general_payments,2013,Recipient_State,recipient_state,core,
general_payments,2013,Recipient_Zip_Code,recipient_zip_code,core,
general_payments,2013,Recipient_Country,recipient_country,core,
general_payments,2013,Recipient_Province,recipient_province,core,
general_payments,2013,Recipient_Postal_Code,recipient_postal_code,core,
general_payments,2013,Physician_Primary_Type,covered_recipient_primary_type_1,core,renamed
general_payments,2013,Physician_Specialty,covered_recipient_specialty_1,core,renamed
general_payments,2013,Physician_License_State_code1,covered_recipient_license_state_code1,core,Physician_ prefix rename
general_payments,2013,Physician_License_State_code2,covered_recipient_license_state_code2,core,Physician_ prefix rename
general_payments,2013,Physician_License_State_code3,covered_recipient_license_state_code3,core,Physician_ prefix rename
general_payments,2013,Physician_License_State_code4,covered_recipient_license_state_code4,core,Physician_ prefix rename
general_payments,2013,Physician_License_State_code5,covered_recipient_license_state_code5,core,Physician_ prefix rename
general_payments,2013,Submitting_Applicable_Manufacturer_or_Applicable_GPO_Name,submitting_applicable_manufacturer_or_applicable_gpo_name,core,
general_payments,2013,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,applicable_manufacturer_or_applicable_gpo_making_payment_id,core,
general_payments,2013,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,applicable_manufacturer_or_applicable_gpo_making_payment_name,core,
general_payments,2013,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,applicable_manufacturer_or_applicable_gpo_making_payment_state,core,
general_payments,2013,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Country,applicable_manufacturer_or_applicable_gpo_making_payment_country,core,
general_payments,2013,Total_Amount_of_Payment_USDollars,total_amount_of_payment_usdollars,core,
general_payments,2013,Date_of_Payment,date_of_payment,core,
general_payments,2013,Number_of_Payments_Included_in_Total_Amount,number_of_payments_included_in_total_amount,core,
general_payments,2013,Form_of_Payment_or_Transfer_of_Value,form_of_payment_or_transfer_of_value,core,
general_payments,2013,Nature_of_Payment_or_Transfer_of_Value,nature_of_payment_or_transfer_of_value,core,
general_payments,2013,City_of_Travel,city_of_travel,core,
general_payments,2013,State_of_Travel,state_of_travel,core,
general_payments,2013,Country_of_Travel,country_of_travel,core,
general_payments,2013,Physician_Ownership_Indicator,physician_ownership_indicator,core,
general_payments,2013,Third_Party_Payment_Recipient_Indicator,third_party_payment_recipient_indicator,core,
general_payments,2013,Name_of_Third_Party_Entity_Receiving_Payment_or_Transfer_of_Value,name_of_third_party_entity_receiving_payment_or_transfer_of_value,core,
general_payments,2013,Charity_Indicator,charity_indicator,core,
general_payments,2013,Third_Party_Equals_Covered_Recipient_Indicator,third_party_equals_covered_recipient_indicator,core,
general_payments,2013,Contextual_Information,contextual_information,core,
general_payments,2013,Delay_in_Publication_Indicator,delay_in_publication_indicator,core,
general_payments,2013,Record_ID,record_id,core,
general_payments,2013,Dispute_Status_for_Publication,dispute_status_for_publication,core,
general_payments,2013,Product_Indicator,related_product_indicator,core,renamed
general_payments,2013,Name_of_Associated_Covered_Drug_or_Biological1,name_of_associated_covered_drug_or_biological1,passthrough,era-specific column (pre-2016 layout)
general_payments,2013,Name_of_Associated_Covered_Drug_or_Biological2,name_of_associated_covered_drug_or_biological2,passthrough,era-specific column (pre-2016 layout)
general_payments,2013,Name_of_Associated_Covered_Drug_or_Biological3,name_of_associated_covered_drug_or_biological3,passthrough,era-specific column (pre-2016 layout)
general_payments,2013,Name_of_Associated_Covered_Drug_or_Biological4,name_of_associated_covered_drug_or_biological4,passthrough,era-specific column (pre-2016 layout)
general_payments,2013,Name_of_Associated_Covered_Drug_or_Biological5,name_of_associated_covered_drug_or_biological5,passthrough,era-specific column (pre-2016 layout)
general_payments,2013,NDC_of_Associated_Covered_Drug_or_Biological1,ndc_of_associated_covered_drug_or_biological1,passthrough,era-specific column (pre-2016 layout)
general_payments,2013,NDC_of_Associated_Covered_Drug_or_Biological2,ndc_of_associated_covered_drug_or_biological2,passthrough,era-specific column (pre-2016 layout)
general_payments,2013,NDC_of_Associated_Covered_Drug_or_Biological3,ndc_of_associated_covered_drug_or_biological3,passthrough,era-specific column (pre-2016 layout)
general_payments,2013,NDC_of_Associated_Covered_Drug_or_Biological4,ndc_of_associated_covered_drug_or_biological4,passthrough,era-specific column (pre-2016 layout)
general_payments,2013,NDC_of_Associated_Covered_Drug_or_Biological5,ndc_of_associated_covered_drug_or_biological5,passthrough,era-specific column (pre-2016 layout)
general_payments,2013,Name_of_Associated_Covered_Device_or_Medical_Supply1,name_of_associated_covered_device_or_medical_supply1,passthrough,era-specific column (pre-2016 layout)
general_payments,2013,Name_of_Associated_Covered_Device_or_Medical_Supply2,name_of_associated_covered_device_or_medical_supply2,passthrough,era-specific column (pre-2016 layout)
general_payments,2013,Name_of_Associated_Covered_Device_or_Medical_Supply3,name_of_associated_covered_device_or_medical_supply3,passthrough,era-specific column (pre-2016 layout)
general_payments,2013,Name_of_Associated_Covered_Device_or_Medical_Supply4,name_of_associated_covered_device_or_medical_supply4,passthrough,era-specific column (pre-2016 layout)
general_payments,2013,Name_of_Associated_Covered_Device_or_Medical_Supply5,name_of_associated_covered_device_or_medical_supply5,passthrough,era-specific column (pre-2016 layout)
general_payments,2013,Program_Year,program_year,core,
general_payments,2013,Payment_Publication_Date,payment_publication_date,core,
general_payments,2015,Change_Type,change_type,core,
general_payments,2015,Covered_Recipient_Type,covered_recipient_type,core,
general_payments,2015,Teaching_Hospital_CCN,teaching_hospital_ccn,core,
general_payments,2015,Teaching_Hospital_ID,teaching_hospital_id,core,
general_payments,2015,Teaching_Hospital_Name,teaching_hospital_name,core,
general_payments,2015,Physician_Profile_ID,covered_recipient_profile_id,core,Physician_ prefix rename
general_payments,2015,Physician_NPI,covered_recipient_npi,core,Physician_ prefix rename
general_payments,2015,Physician_First_Name,covered_recipient_first_name,core,Physician_ prefix rename
general_payments,2015,Physician_Middle_Name,covered_recipient_middle_name,core,Physician_ prefix rename
general_payments,2015,Physician_Last_Name,covered_recipient_last_name,core,Physician_ prefix rename
general_payments,2015,Physician_Name_Suffix,covered_recipient_name_suffix,core,Physician_ prefix rename
general_payments,2015,Recipient_Primary_Business_Street_Address_Line1,recipient_primary_business_street_address_line1,core,
general_payments,2015,Recipient_Primary_Business_Street_Address_Line2,recipient_primary_business_street_address_line2,core,
general_payments,2015,Recipient_City,recipient_city,core,
general_payments,2015,Recipient_State,recipient_state,core,
general_payments,2015,Recipient_Zip_Code,recipient_zip_code,core,
general_payments,2015,Recipient_Country,recipient_country,core,
general_payments,2015,Recipient_Province,recipient_province,core,
general_payments,2015,Recipient_Postal_Code,recipient_postal_code,core,
general_payments,2015,Physician_Primary_Type,covered_recipient_primary_type_1,core,renamed
general_payments,2015,Physician_Specialty,covered_recipient_specialty_1,core,renamed
general_payments,2015,Physician_License_State_code1,covered_recipient_license_state_code1,core,Physician_ prefix rename
general_payments,2015,Physician_License_State_code2,covered_recipient_license_state_code2,core,Physician_ prefix rename
general_payments,2015,Physician_License_State_code3,covered_recipient_license_state_code3,core,Physician_ prefix rename
general_payments,2015,Physician_License_State_code4,covered_recipient_license_state_code4,core,Physician_ prefix rename
general_payments,2015,Physician_License_State_code5,covered_recipient_license_state_code5,core,Physician_ prefix rename
general_payments,2015,Submitting_Applicable_Manufacturer_or_Applicable_GPO_Name,submitting_applicable_manufacturer_or_applicable_gpo_name,core,
general_payments,2015,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,applicable_manufacturer_or_applicable_gpo_making_payment_id,core,
general_payments,2015,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,applicable_manufacturer_or_applicable_gpo_making_payment_name,core,
general_payments,2015,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,applicable_manufacturer_or_applicable_gpo_making_payment_state,core,
general_payments,2015,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Country,applicable_manufacturer_or_applicable_gpo_making_payment_country,core,
general_payments,2015,Total_Amount_of_Payment_USDollars,total_amount_of_payment_usdollars,core,
general_payments,2015,Date_of_Payment,date_of_payment,core,
general_payments,2015,Number_of_Payments_Included_in_Total_Amount,number_of_payments_included_in_total_amount,core,
general_payments,2015,Form_of_Payment_or_Transfer_of_Value,form_of_payment_or_transfer_of_value,core,
general_payments,2015,Nature_of_Payment_or_Transfer_of_Value,nature_of_payment_or_transfer_of_value,core,
general_payments,2015,City_of_Travel,city_of_travel,core,
general_payments,2015,State_of_Travel,state_of_travel,core,
general_payments,2015,Country_of_Travel,country_of_travel,core,
general_payments,2015,Physician_Ownership_Indicator,physician_ownership_indicator,core,
general_payments,2015,Third_Party_Payment_Recipient_Indicator,third_party_payment_recipient_indicator,core,
general_payments,2015,Name_of_Third_Party_Entity_Receiving_Payment_or_Transfer_of_Value,name_of_third_party_entity_receiving_payment_or_transfer_of_value,core,
general_payments,2015,Charity_Indicator,charity_indicator,core,
general_payments,2015,Third_Party_Equals_Covered_Recipient_Indicator,third_party_equals_covered_recipient_indicator,core,
general_payments,2015,Contextual_Information,contextual_information,core,
general_payments,2015,Delay_in_Publication_Indicator,delay_in_publication_indicator,core,
general_payments,2015,Record_ID,record_id,core,
general_payments,2015,Dispute_Status_for_Publication,dispute_status_for_publication,core,
general_payments,2015,Product_Indicator,related_product_indicator,core,renamed
general_payments,2015,Name_of_Associated_Covered_Drug_or_Biological1,name_of_associated_covered_drug_or_biological1,passthrough,era-specific column (pre-2016 layout)
general_payments,2015,Name_of_Associated_Covered_Drug_or_Biological2,name_of_associated_covered_drug_or_biological2,passthrough,era-specific column (pre-2016 layout)
general_payments,2015,Name_of_Associated_Covered_Drug_or_Biological3,name_of_associated_covered_drug_or_biological3,passthrough,era-specific column (pre-2016 layout)
general_payments,2015,Name_of_Associated_Covered_Drug_or_Biological4,name_of_associated_covered_drug_or_biological4,passthrough,era-specific column (pre-2016 layout)
general_payments,2015,Name_of_Associated_Covered_Drug_or_Biological5,name_of_associated_covered_drug_or_biological5,passthrough,era-specific column (pre-2016 layout)
general_payments,2015,NDC_of_Associated_Covered_Drug_or_Biological1,ndc_of_associated_covered_drug_or_biological1,passthrough,era-specific column (pre-2016 layout)
general_payments,2015,NDC_of_Associated_Covered_Drug_or_Biological2,ndc_of_associated_covered_drug_or_biological2,passthrough,era-specific column (pre-2016 layout)
general_payments,2015,NDC_of_Associated_Covered_Drug_or_Biological3,ndc_of_associated_covered_drug_or_biological3,passthrough,era-specific column (pre-2016 layout)
general_payments,2015,NDC_of_Associated_Covered_Drug_or_Biological4,ndc_of_associated_covered_drug_or_biological4,passthrough,era-specific column (pre-2016 layout)
general_payments,2015,NDC_of_Associated_Covered_Drug_or_Biological5,ndc_of_associated_covered_drug_or_biological5,passthrough,era-specific column (pre-2016 layout)
general_payments,2015,Name_of_Associated_Covered_Device_or_Medical_Supply1,name_of_associated_covered_device_or_medical_supply1,passthrough,era-specific column (pre-2016 layout)
general_payments,2015,Name_of_Associated_Covered_Device_or_Medical_Supply2,name_of_associated_covered_device_or_medical_supply2,passthrough,era-specific column (pre-2016 layout)
general_payments,2015,Name_of_Associated_Covered_Device_or_Medical_Supply3,name_of_associated_covered_device_or_medical_supply3,passthrough,era-specific column (pre-2016 layout)
general_payments,2015,Name_of_Associated_Covered_Device_or_Medical_Supply4,name_of_associated_covered_device_or_medical_supply4,passthrough,era-specific column (pre-2016 layout)
general_payments,2015,Name_of_Associated_Covered_Device_or_Medical_Supply5,name_of_associated_covered_device_or_medical_supply5,passthrough,era-specific column (pre-2016 layout)
general_payments,2015,Program_Year,program_year,core,
general_payments,2015,Payment_Publication_Date,payment_publication_date,core,
general_payments,2016,Change_Type,change_type,core,
general_payments,2016,Covered_Recipient_Type,covered_recipient_type,core,
general_payments,2016,Teaching_Hospital_CCN,teaching_hospital_ccn,core,
general_payments,2016,Teaching_Hospital_ID,teaching_hospital_id,core,
general_payments,2016,Teaching_Hospital_Name,teaching_hospital_name,core,
general_payments,2016,Covered_Recipient_Profile_ID,covered_recipient_profile_id,core,
general_payments,2016,Covered_Recipient_NPI,covered_recipient_npi,core,
general_payments,2016,Covered_Recipient_First_Name,covered_recipient_first_name,core,
general_payments,2016,Covered_Recipient_Middle_Name,covered_recipient_middle_name,core,
general_payments,2016,Covered_Recipient_Last_Name,covered_recipient_last_name,core,
general_payments,2016,Covered_Recipient_Name_Suffix,covered_recipient_name_suffix,core,
general_payments,2016,Recipient_Primary_Business_Street_Address_Line1,recipient_primary_business_street_address_line1,core,
general_payments,2016,Recipient_Primary_Business_Street_Address_Line2,recipient_primary_business_street_address_line2,core,
general_payments,2016,Recipient_City,recipient_city,core,
general_payments,2016,Recipient_State,recipient_state,core,
general_payments,2016,Recipient_Zip_Code,recipient_zip_code,core,
general_payments,2016,Recipient_Country,recipient_country,core,
general_payments,2016,Recipient_Province,recipient_province,core,
general_payments,2016,Recipient_Postal_Code,recipient_postal_code,core,
general_payments,2016,Covered_Recipient_Primary_Type_1,covered_recipient_primary_type_1,core,
general_payments,2016,Covered_Recipient_Primary_Type_2,covered_recipient_primary_type_2,core,
general_payments,2016,Covered_Recipient_Primary_Type_3,covered_recipient_primary_type_3,core,
general_payments,2016,Covered_Recipient_Primary_Type_4,covered_recipient_primary_type_4,core,
general_payments,2016,Covered_Recipient_Primary_Type_5,covered_recipient_primary_type_5,core,
general_payments,2016,Covered_Recipient_Primary_Type_6,covered_recipient_primary_type_6,core,
general_payments,2016,Covered_Recipient_Specialty_1,covered_recipient_specialty_1,core,
general_payments,2016,Covered_Recipient_Specialty_2,covered_recipient_specialty_2,core,
general_payments,2016,Covered_Recipient_Specialty_3,covered_recipient_specialty_3,core,
general_payments,2016,Covered_Recipient_Specialty_4,covered_recipient_specialty_4,core,
general_payments,2016,Covered_Recipient_Specialty_5,covered_recipient_specialty_5,core,
general_payments,2016,Covered_Recipient_Specialty_6,covered_recipient_specialty_6,core,
general_payments,2016,Covered_Recipient_License_State_code1,covered_recipient_license_state_code1,core,
general_payments,2016,Covered_Recipient_License_State_code2,covered_recipient_license_state_code2,core,
general_payments,2016,Covered_Recipient_License_State_code3,covered_recipient_license_state_code3,core,
general_payments,2016,Covered_Recipient_License_State_code4,covered_recipient_license_state_code4,core,
general_payments,2016,Covered_Recipient_License_State_code5,covered_recipient_license_state_code5,core,
general_payments,2016,Submitting_Applicable_Manufacturer_or_Applicable_GPO_Name,submitting_applicable_manufacturer_or_applicable_gpo_name,core,
general_payments,2016,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,applicable_manufacturer_or_applicable_gpo_making_payment_id,core,
general_payments,2016,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,applicable_manufacturer_or_applicable_gpo_making_payment_name,core,
general_payments,2016,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,applicable_manufacturer_or_applicable_gpo_making_payment_state,core,
general_payments,2016,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Country,applicable_manufacturer_or_applicable_gpo_making_payment_country,core,
general_payments,2016,Total_Amount_of_Payment_USDollars,total_amount_of_payment_usdollars,core,
general_payments,2016,Date_of_Payment,date_of_payment,core,
general_payments,2016,Number_of_Payments_Included_in_Total_Amount,number_of_payments_included_in_total_amount,core,
general_payments,2016,Form_of_Payment_or_Transfer_of_Value,form_of_payment_or_transfer_of_value,core,
general_payments,2016,Nature_of_Payment_or_Transfer_of_Value,nature_of_payment_or_transfer_of_value,core,
general_payments,2016,City_of_Travel,city_of_travel,core,
general_payments,2016,State_of_Travel,state_of_travel,core,
general_payments,2016,Country_of_Travel,country_of_travel,core,
general_payments,2016,Physician_Ownership_Indicator,physician_ownership_indicator,core,
general_payments,2016,Third_Party_Payment_Recipient_Indicator,third_party_payment_recipient_indicator,core,
general_payments,2016,Name_of_Third_Party_Entity_Receiving_Payment_or_Transfer_of_Value,name_of_third_party_entity_receiving_payment_or_transfer_of_value,core,
general_payments,2016,Charity_Indicator,charity_indicator,core,
general_payments,2016,Third_Party_Equals_Covered_Recipient_Indicator,third_party_equals_covered_recipient_indicator,core,
general_payments,2016,Contextual_Information,contextual_information,core,
general_payments,2016,Delay_in_Publication_Indicator,delay_in_publication_indicator,core,
general_payments,2016,Record_ID,record_id,core,
general_payments,2016,Dispute_Status_for_Publication,dispute_status_for_publication,core,
general_payments,2016,Related_Product_Indicator,related_product_indicator,core,
general_payments,2016,Covered_or_Noncovered_Indicator_1,covered_or_noncovered_indicator_1,core,
general_payments,2016,Indicate_Drug_or_Biological_or_Device_or_Medical_Supply_1,indicate_drug_or_biological_or_device_or_medical_supply_1,core,
general_payments,2016,Product_Category_or_Therapeutic_Area_1,product_category_or_therapeutic_area_1,core,
general_payments,2016,Name_of_Drug_or_Biological_or_Device_or_Medical_Supply_1,name_of_drug_or_biological_or_device_or_medical_supply_1,core,
general_payments,2016,Associated_Drug_or_Biological_NDC_1,associated_drug_or_biological_ndc_1,core,
general_payments,2016,Associated_Device_or_Medical_Supply_PDI_1,associated_device_or_medical_supply_pdi_1,core,
general_payments,2016,Covered_or_Noncovered_Indicator_2,covered_or_noncovered_indicator_2,core,
general_payments,2016,Indicate_Drug_or_Biological_or_Device_or_Medical_Supply_2,indicate_drug_or_biological_or_device_or_medical_supply_2,core,
general_payments,2016,Product_Category_or_Therapeutic_Area_2,product_category_or_therapeutic_area_2,core,
general_payments,2016,Name_of_Drug_or_Biological_or_Device_or_Medical_Supply_2,name_of_drug_or_biological_or_device_or_medical_supply_2,core,
general_payments,2016,Associated_Drug_or_Biological_NDC_2,associated_drug_or_biological_ndc_2,core,
general_payments,2016,Associated_Device_or_Medical_Supply_PDI_2,associated_device_or_medical_supply_pdi_2,core,
general_payments,2016,Covered_or_Noncovered_Indicator_3,covered_or_noncovered_indicator_3,core,
